Date,close price
22-4-2019,17.5
23-4-2019,17.6
24-4-2019,17.6
25-4-2019,16.7
28-4-2019,16.1
29-4-2019,17.3
30-4-2019,16.75
1-5-2019,17.58
5-5-2019,17.98
6-5-2019,17.9
7-5-2019,17.7
8-5-2019,17.7
9-5-2019,17.6
12-5-2019,17
13-5-2019,17
14-5-2019,16.7
15-5-2019,17
16-5-2019,17
19-5-2019,17
20-5-2019,16.65
21-5-2019,16.5
22-5-2019,16.5
23-5-2019,16.5
26-5-2019,16.5
27-5-2019,16.82
28-5-2019,16.89
29-5-2019,16.6
30-5-2019,16.5
2-6-2019,16.6
3-6-2019,16.55
10-6-2019,16.5
11-6-2019,16.6
12-6-2019,16.6
13-6-2019,16.6
16-6-2019,16.8
17-6-2019,16.88
18-6-2019,16.88
19-6-2019,16.6
20-6-2019,16.66
23-6-2019,16.66
24-6-2019,17
25-6-2019,17.12
26-6-2019,17.05
27-6-2019,16.75
30-6-2019,16.99
1-7-2019,16.95
2-7-2019,17.25
3-7-2019,17.35
4-7-2019,17.3
7-7-2019,17.8
8-7-2019,18.15
9-7-2019,18.5
10-7-2019,18.5
11-7-2019,18.05
14-7-2019,18.05
15-7-2019,18.3
16-7-2019,18.2
17-7-2019,18.27
18-7-2019,18
21-7-2019,18.65
22-7-2019,18.65
23-7-2019,18.7
24-7-2019,18.59
25-7-2019,18.6
28-7-2019,18.6
29-7-2019,18.6
30-7-2019,18.99
31-7-2019,18.99
1-8-2019,19.4
4-8-2019,19.4
5-8-2019,19.16
6-8-2019,19
7-8-2019,19.29
8-8-2019,19.29
15-8-2019,19.1
18-8-2019,18.65
19-8-2019,18.7
20-8-2019,18.51
21-8-2019,18.6
22-8-2019,18.7
25-8-2019,18.6
26-8-2019,18.6
27-8-2019,18.5
28-8-2019,18.43
29-8-2019,18.45
1-9-2019,18.6
2-9-2019,18.6
3-9-2019,18.3
4-9-2019,18.35
5-9-2019,18.35
8-9-2019,18.35
9-9-2019,18.3
10-9-2019,18.3
11-9-2019,18.3
12-9-2019,18.4
15-9-2019,18.4
16-9-2019,18.5
17-9-2019,18.5
18-9-2019,18.5
19-9-2019,18.5
22-9-2019,18.89
23-9-2019,19
24-9-2019,19
25-9-2019,18.8
26-9-2019,18.8
29-9-2019,19
30-9-2019,19
1-10-2019,19
2-10-2019,19.09
3-10-2019,19.09
6-10-2019,19.09
7-10-2019,19.09
8-10-2019,19.09
9-10-2019,19
10-10-2019,18.96
13-10-2019,18.96
14-10-2019,19
15-10-2019,19
16-10-2019,19.45
17-10-2019,19
20-10-2019,19
21-10-2019,18.85
22-10-2019,18.85
23-10-2019,19
24-10-2019,18.95
27-10-2019,18.95
28-10-2019,18.95
29-10-2019,19
30-10-2019,18.91
31-10-2019,19
3-11-2019,20.42
4-11-2019,20.4
5-11-2019,20.15
6-11-2019,20
7-11-2019,20.02
10-11-2019,19.26
11-11-2019,19.26
12-11-2019,19.41
13-11-2019,19.75
14-11-2019,20
17-11-2019,19.75
18-11-2019,19.65
19-11-2019,19.75
20-11-2019,19.75
21-11-2019,19.6
24-11-2019,19.75
25-11-2019,19.75
26-11-2019,19.85
27-11-2019,19.85
28-11-2019,20.15
1-12-2019,20.15
2-12-2019,20.15
3-12-2019,20.15
4-12-2019,19.75
5-12-2019,20
8-12-2019,20.95
9-12-2019,20
10-12-2019,19.8
11-12-2019,19.8
12-12-2019,19.85
15-12-2019,20
16-12-2019,20.48
17-12-2019,20.1
18-12-2019,20.4
19-12-2019,20.4
22-12-2019,20.4
23-12-2019,20
24-12-2019,20
26-12-2019,20.25
29-12-2019,20.35
30-12-2019,20.45
31-12-2019,20.45
2-1-2020,20.45
5-1-2020,20.45
6-1-2020,20.6
7-1-2020,21.4
8-1-2020,21.29
9-1-2020,21.4
12-1-2020,20.55
13-1-2020,21
14-1-2020,21
15-1-2020,21.4
16-1-2020,21.35
19-1-2020,21.15
20-1-2020,21.45
21-1-2020,21.45
22-1-2020,21.45
23-1-2020,21.43
26-1-2020,21.43
27-1-2020,21
28-1-2020,21
29-1-2020,21
30-1-2020,21
2-2-2020,21
3-2-2020,20.74
4-2-2020,20.65
5-2-2020,20.65
6-2-2020,21.1
9-2-2020,21.09
10-2-2020,21.1
11-2-2020,21
12-2-2020,21
13-2-2020,21
16-2-2020,20.79
17-2-2020,20.75
18-2-2020,20.56
19-2-2020,20.16
20-2-2020,20.16
23-2-2020,20
24-2-2020,20
25-2-2020,20
26-2-2020,20
27-2-2020,19.75
1-3-2020,19.82
2-3-2020,20
3-3-2020,19.22
4-3-2020,19.49
5-3-2020,19.1
8-3-2020,19.09
9-3-2020,18.87
10-3-2020,19
11-3-2020,18.6
12-3-2020,17.3
15-3-2020,17
16-3-2020,17.35
10-5-2020,17.35
11-5-2020,16.92
12-5-2020,16.5
13-5-2020,16.1
14-5-2020,16.3
17-5-2020,16.45
18-5-2020,16.58
19-5-2020,16.57
